season,name,position,round,total_points,points_last3,points_last5,minutes_last3,minutes_last5,bps_last5,ict_last5,starts_last3,xg_last5,xa_last5,xgi_last5,transfers_last3,season_points_avg,season_minutes_avg,was_home,value,round,pos_DEF,pos_FWD,pos_GK,pos_MID
2022-23,Aaron Hickey,DEF,31,1,0.6666666666666666,2.2,59.333333333333336,71.6,10.2,0.9400000000000002,0.6666666666666666,0.004,0.01,0.008,347.6666666666667,1.3,44.53333333333333,0,49,31,1,0,0,0
2022-23,Aaron Hickey,DEF,32,2,1.0,1.4,53.666666666666664,68.2,9.0,0.9200000000000002,0.6666666666666666,0.004,0.01,0.008,62.666666666666664,1.2903225806451613,45.45161290322581,1,49,32,1,0,0,0
2022-23,Aaron Hickey,DEF,33,1,1.3333333333333333,1.0,78.66666666666667,68.2,5.6,0.5400000000000003,1.0,0.027999999999999997,0.002,0.024,-19.666666666666668,1.3125,46.84375,0,49,33,1,0,0,0
2022-23,Aaron Hickey,DEF,34,2,1.3333333333333333,1.2,54.666666666666664,50.4,6.2,0.5400000000000003,0.6666666666666666,0.028000000000000004,0.002,0.024,72.66666666666667,1.303030303030303,45.45454545454545,1,49,34,1,0,0,0
2022-23,Aaron Hickey,DEF,35,2,1.6666666666666667,1.4,60.333333333333336,65.4,8.6,0.9800000000000001,0.6666666666666666,0.027999999999999997,0.014000000000000002,0.041999999999999996,-234.0,1.3235294117647058,46.76470588235294,0,49,35,1,0,0,0
2022-23,Aaron Hickey,DEF,36,5,1.6666666666666667,1.6,59.333333333333336,68.2,7.4,1.2400000000000002,0.6666666666666666,0.027999999999999997,0.016,0.044,-765.0,1.3428571428571427,47.91428571428571,1,49,36,1,0,0,0
2022-23,Aaron Hickey,DEF,37,5,3.0,2.4,87.0,70.4,10.2,1.8200000000000003,1.0,0.042,0.022000000000000002,0.064,-589.3333333333334,1.4444444444444444,48.916666666666664,0,49,37,1,0,0,0
2022-23,Aaron Hickey,DEF,38,6,4.0,3.0,86.33333333333333,70.0,13.6,2.16,1.0,0.018000000000000002,0.034,0.052000000000000005,-350.0,1.5405405405405406,49.972972972972975,1,49,38,1,0,0,0
2022-23,Aaron Ramsdale,GK,2,1,6.0,6.0,90.0,90.0,25.0,1.9,0.0,0.0,0.0,0.0,0.0,6.0,90.0,1,50,2,0,0,1,0
2022-23,Aaron Ramsdale,GK,3,6,3.5,3.5,90.0,90.0,17.5,1.5499999999999998,0.0,0.0,0.0,0.0,15643.5,3.5,90.0,0,50,3,0,0,1,0
2022-23,Aaron Ramsdale,GK,4,2,4.333333333333333,4.333333333333333,90.0,90.0,18.333333333333332,1.3,0.0,0.0,0.0,0.0,-10024.0,4.333333333333333,90.0,1,50,4,0,0,1,0
2022-23,Aaron Ramsdale,GK,5,2,3.0,3.75,90.0,90.0,16.75,1.45,0.0,0.0,0.0,0.0,-14080.333333333334,3.75,90.0,1,50,5,0,0,1,0
2022-23,Aaron Ramsdale,GK,6,2,3.3333333333333335,3.4,90.0,90.0,16.0,1.5,0.0,0.0,0.0,0.0,-42289.333333333336,3.4,90.0,0,50,6,0,0,1,0
2022-23,Aaron Ramsdale,GK,8,6,2.0,2.6,90.0,90.0,13.8,1.6199999999999999,0.0,0.0,0.0,0.0,-105266.33333333333,3.1666666666666665,90.0,0,49,8,0,0,1,0
2022-23,Aaron Ramsdale,GK,9,2,3.3333333333333335,3.6,90.0,90.0,16.6,1.7400000000000002,0.0,0.0,0.0,0.0,-112422.0,3.5714285714285716,90.0,1,49,9,0,0,1,0
2022-23,Aaron Ramsdale,GK,10,1,3.3333333333333335,2.8,90.0,90.0,15.0,1.9599999999999997,0.0,0.0,0.0,0.0,-105428.66666666667,3.375,90.0,1,49,10,0,0,1,0
2022-23,Aaron Ramsdale,GK,11,10,3.0,2.6,90.0,90.0,15.6,1.8399999999999999,0.0,0.0,0.0,0.0,-29319.0,3.111111111111111,90.0,0,49,11,0,0,1,0
2022-23,Aaron Ramsdale,GK,13,2,4.333333333333333,4.2,90.0,90.0,19.4,2.2,0.0,0.0,0.0,0.0,-14744.666666666666,3.8,90.0,0,49,13,0,0,1,0
2022-23,Aaron Ramsdale,GK,14,6,4.333333333333333,4.2,90.0,90.0,19.0,2.0,0.0,0.0,0.0,0.0,1893.0,3.6363636363636362,90.0,1,49,14,0,0,1,0
2022-23,Aaron Ramsdale,GK,15,6,6.0,4.2,90.0,90.0,19.0,1.8799999999999997,0.0,0.0,0.0,0.0,14032.333333333334,3.8333333333333335,90.0,0,49,15,0,0,1,0
2022-23,Aaron Ramsdale,GK,16,6,4.666666666666667,5.0,90.0,90.0,20.8,1.7600000000000002,0.0,0.0,0.0,0.0,4546.0,4.0,90.0,0,49,16,0,0,1,0
2022-23,Aaron Ramsdale,GK,17,3,6.0,6.0,90.0,90.0,22.6,1.78,0.3333333333333333,0.0,2.7999999999999996e-05,2.7999999999999996e-05,14294.666666666666,4.142857142857143,90.0,1,49,17,0,0,1,0
2022-23,Aaron Ramsdale,GK,18,2,5.0,4.6,90.0,90.0,19.0,1.48,0.6666666666666666,0.0,0.002472,0.002472,66084.0,4.066666666666666,90.0,0,49,18,0,0,1,0
2022-23,Aaron Ramsdale,GK,19,6,3.6666666666666665,4.6,90.0,90.0,19.6,1.64,1.0,0.0,0.0025779999999999996,0.0025779999999999996,66492.0,3.9375,90.0,1,49,19,0,0,1,0
2022-23,Aaron Ramsdale,GK,20,11,3.6666666666666665,4.6,90.0,90.0,19.2,1.5399999999999998,1.0,0.0,0.002908,0.002908,35736.666666666664,4.0588235294117645,90.0,0,49,20,0,0,1,0
2022-23,Aaron Ramsdale,GK,21,1,6.333333333333333,5.6,90.0,90.0,22.2,2.3600000000000003,1.0,0.0,0.002996,0.002996,-33181.333333333336,4.444444444444445,90.0,1,49,21,0,0,1,0
2022-23,Aaron Ramsdale,GK,22,3,6.0,4.6,90.0,90.0,19.0,2.28,1.0,0.0,0.00321,0.00321,-15153.333333333334,4.2631578947368425,90.0,0,49,22,0,0,1,0
